title,logoPath,logoPathV3,jobId,jobType,currency,footerPlaceholderLabel,footerPlaceholderColor,companyName,isSaved,companyId,jdURL,jobDescription,showMultipleApply,groupId,isTopGroup,createdDate,mode,board,companyApplyJob,walkinJob,saved,experience,salary,location,companyJobsUrl,ambitionBoxData,internshipTags,vacancy,hiringFor,consultant,hideClientName,clientLogo,extracted_skills
Data Analyst,https://img.naukimg.com/logo_images/groups/v1/11727281.gif,https://img.naukimg.com/logo_images/groups/v1/11727281.gif,160525501890,internship,INR,Starts in 1-3 months,green,Corporate Web Solutions,False,124748413,https://www.naukri.com/job-listings-data-analyst-corporate-web-solutions-bengaluru-1-to-4-years-160525501890,"We are looking for a motivated and detail-oriented Data Analyst Intern to join our growing team<br><br>Internship Certificate <br><br>Part-time work from home (2-3 hours per day) <br><br>5 days a week,fully flexible shift <br><br>Any Graduate / Pass Outs / Feashers can apply. Current student or recent graduate in Data Science,Mathematics,Statistics,Computer Science,Economics,or a related field",False,11727281,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Bengaluru,https://www.naukri.com/corporate-web-solutions-jobs-careers-124748413,,,,,,,,['statistics']
DATA ANALYST,https://img.naukimg.com/logo_images/groups/v1/4305258.gif,https://img.naukimg.com/logo_images/groups/v1/4305258.gif,130126506831,internship,INR,Starts in 1-3 months,green,Godigi Infotech,False,5165262,https://www.naukri.com/job-listings-data-analyst-godigi-infotech-pune-0-to-1-years-130126506831," . Get Daily Job & Internship Updates. Download Our App And Apply Instantly.  . Download our mobile app to receive the latest job and internship updates every day<br><br> As a Data Analyst intern at Maxgen Technologies Private Limited,you will have the opportunity to sharpen your skills in Data Analytics,Power BI,Data Analysis,and Tableau while working on real-world projects",False,4305258,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Pune,https://www.naukri.com/godigi-infotech-jobs-careers-5165262,"{'Url': 'https://www.ambitionbox.com/reviews/godigi-infotech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 2, 'AggregateRating': '2.4', 'Title': 'GoDigi InfoTech Reviews by Employees'}",,,,,,,"['power bi', 'tableau', 'data analysis']"
Intern -  Category Data Analysis,https://img.naukimg.com/logo_images/groups/v1/9205069.gif,https://img.naukimg.com/logo_images/groups/v1/9205069.gif,230426500715,internship,INR,Starts in 1-3 months,green,Studify Success,False,124830917,https://www.naukri.com/job-listings-intern-category-data-analysis-studifysuccess-pvt-ltd-new-delhi-0-to-1-years-230426500715,"<div> <br /> <p> Readying your books, pencils, and next lesson... </p> <div> CUET 2026 Live </div> <span> </span> <span> Explore </span>  openings At studifysuccess, were committed to being the best in education technology. Our goal is simple: make learning enjoyable and inspire a love for it in everyone. We learn, improve, have fun, and share our passion. Its what we do!  <span> Recent </span>  openings  <div> Unpaid </div> </div>

Disclaimer : This job posting has been aggregated from external source. Role details, content, and availability are subject to change. Applicants are advised to confirm the latest information directly on the company website before applying.",False,9205069,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,New Delhi,https://www.naukri.com/studify-success-jobs-careers-124830917,"{'Url': 'https://www.ambitionbox.com/reviews/studify-success-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 5, 'AggregateRating': '2.4', 'Title': 'Studify Success Reviews by Employees'}",,,,,,,[]
Internship,https://img.naukimg.com/logo_images/groups/v1/7125731.gif,https://img.naukimg.com/logo_images/groups/v1/7125731.gif,200426503083,internship,INR,Starts in 1-3 months,green,ATV Legal,False,124271248,https://www.naukri.com/job-listings-internship-atv-legal-bengaluru-1-to-2-years-200426503083,"<ul> <li> Assist in preparing legal documents and contracts under the guidance of senior attorneys. </li> <li> Conduct research on various legal matters and provide insights to support business decisions. </li> <li> Collaborate with cross-functional teams to achieve organizational goals. </li> <li> Develop and maintain client relationships through effective communication. </li> <li> Participate in training sessions to enhance knowledge and skills. </li> <li> Contribute to the development of new ideas and initiatives to improve processes. </li> </ul>

<strong> Disclaimer: </strong>  This job posting has been aggregated from external source. Role details, content, and availability are subject to change. Applicants are advised to confirm the latest information directly on the company website before applying.",False,7125731,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Bengaluru,https://www.naukri.com/atv-legal-jobs-careers-124271248,,,,,,,,[]
Analyst Intern,https://img.naukimg.com/logo_images/groups/v1/4634985.gif,https://img.naukimg.com/logo_images/groups/v1/4634985.gif,100326037440,internship,INR,Starts within 1 month,green,Thyrocare,False,966284,https://www.naukri.com/job-listings-analyst-intern-thyrocare-bengaluru-0-to-1-years-100326037440,Responsibilities :  . Data Analyst Intern would be responsible for working closely with the Business Teams and helping them in making data driven decisions,False,4634985,0,1970-01-01 00:00:00,jp,1,False,False,False,,"25,000/month",Bengaluru(HSR Layout),https://www.naukri.com/thyrocare-jobs-careers-26983,"{'Url': 'https://www.ambitionbox.com/reviews/thyrocare-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 1167, 'AggregateRating': '3.7', 'Title': 'Thyrocare Technologies Reviews by Employees'}",,,,,,,[]
Data Analytics Trainee,https://img.naukimg.com/logo_images/groups/v1/714598.gif,https://img.naukimg.com/logo_images/groups/v1/714598.gif,10526502883,internship,INR,Starts in 1-3 months,green,Sigmoid Analytics,False,2611262,https://www.naukri.com/job-listings-data-analytics-trainee-sigmoid-bengaluru-0-to-1-years-010526502883,"Role: Data Analyst Intern . (Conversion Track to Senior Data Analyst / Associate Manager Analytics) Location: Bengaluru,Karnataka,India,Work from Office . <br><br>This is a referral-only,high-intent internship program designed for individuals looking to transition into the data analytics domain .  <br><br>Program comes with a stipend amount based on your past work experience",False,714598,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Bengaluru,https://www.naukri.com/sigmoid-analytics-jobs-careers-1028824,"{'Url': 'https://www.ambitionbox.com/reviews/sigmoid-analytics-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 297, 'AggregateRating': '3.8', 'Title': 'Sigmoid Reviews by Employees'}",,,,,,,[]
Market Research Trainee,https://img.naukimg.com/logo_images/groups/v1/10732872.gif,https://img.naukimg.com/logo_images/groups/v1/10732872.gif,10526501203,internship,INR,Starts in 1-3 months,green,Kytes,False,124451812,https://www.naukri.com/job-listings-market-research-trainee-kytes-by-productdossier-pune-0-to-1-years-010526501203,"0 1 year (Freshers can apply) <br><br>Basic knowledge of CRM systems and marketing tools (preferred)<br><br>BE / BTech,BBA,MBA (Marketing / Business Analytics preferred) <br><br>Experience",False,10732872,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Pune,https://www.naukri.com/kytes-jobs-careers-124451812,"{'Url': 'https://www.ambitionbox.com/reviews/kytes-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 27, 'AggregateRating': '3.2', 'Title': 'Kytes Reviews by Employees'}",,,,,,,[]
Intern Strategic Planning,https://img.naukimg.com/logo_images/groups/v1/2373670.gif,https://img.naukimg.com/logo_images/groups/v1/2373670.gif,300426500054,internship,INR,Starts in 1-3 months,green,Emerson,False,1452558,https://www.naukri.com/job-listings-intern-strategic-planning-emerson-innovation-center-mumbai-0-to-2-years-300426500054,"<div> <div> <p> <span> <strong> Job Summary:</strong> </span> </p> <p> <span> To support the Strategy Planning Marketing team in business planning, market intelligence, reporting, management reviews and planning execution of Marketing events, while building a strong foundation in strategic thinking, business analytics, and marketing. </span> </p> <p> </p> <p> <strong> In</strong> <span> <strong> </strong> </span> <strong> this</strong> <span> <strong> </strong> </span> <strong> Role, </strong> <span> <strong> </strong> </span> <strong> Your</strong> <span> <strong> </strong> </span> <strong> Responsibilities</strong> <span> <strong> </strong> </span> <strong> Will</strong> <span> <strong> </strong> </span> <span> <strong> Be:</strong> </span> </p> <p> </p> <ul> <li> Support strategic planning and annual business planning processes. </li> <li> Assist in preparing review presentation executive decks. </li> <li> Conduct market, competitor, and business performance analysis. </li> <li> Coordinate with Businesses cross-functional teams to gather data and insights. </li> <li> Support Businesses country leadership on ad hoc analysis and special projects for business growth and performance improvement. </li> <li> Support leadership in planning execution of Marketing exercises, events, leadership visits conferences. </li> </ul> </div> <p> <strong> Who We</strong> <span> <strong> </strong> </span> <span> <strong> Are:</strong> </span> </p> <p> </p> <ul> <li> <p> <span> <span> At Emerson, we are a dynamic team that drives Strategic Planning support to Businesses, while delivering executive presentations and reviews. Our work spans market, competitor, and performance analysis, ensuring data-driven insights that empower decision-making. By collaborating across businesses and functions, we gather intelligence that fuels innovation and performance improvement. We partner with country leadership on special projects, marketing initiatives, and key events, playing a pivotal role in advancing business growth and strengthening Emerson s global presence. </span> </span> </p> <p> </p> </li> </ul> <p> </p> <p> <strong> For</strong> <span> <strong> </strong> </span> <strong> This</strong> <span> <strong> </strong> </span> <strong> Role, </strong> <span> <strong> </strong> </span> <strong> You</strong> <span> <strong> </strong> </span> <strong> Will</strong> <span> <strong> </strong> </span> <span> <strong> Need</strong> </span> <span> <span> <strong> :</strong> </span> </span> </p> <p> </p> <ul> <li> Strong strategic and analytical thinking</li> <li> Genuine interest in strategy, business performance, marketing, and growth opportunities</li> <li> Strong understanding of Macrodynamic, markets, customers, competitors, and business drivers</li> <li> Action-oriented individuals who take initiative and learn fast</li> <li> Strong written and verbal communication skills</li> <li> Collaborative team players who can work effectively across functions</li> <li> Professional presence and confidence in engaging with stakeholders</li> <li> High leadership potential and aspiration to grow into broader business roles</li> <li> Flexibility to explore future opportunities across strategy planning, business analysis, marketing, and commercial leadership tracks</li> <li> <p> Exposure to finance, accounting, business analytics, and market insight generation will be a plus. </p> <p> </p> <p> </p> <p> <strong> Our</strong> <span> <strong> </strong> </span> <strong> Culture</strong> <span> <strong> </strong> </span> <strong> </strong> <span> <strong> </strong> </span> <strong> Commitment</strong> <span> <strong> </strong> </span> <strong> to</strong> <span> <strong> </strong> </span> <span> <strong> You:</strong> </span> </p> </li> </ul> <p> <span> <span> At Emerson, we prioritize a workplace where every employee is valued, respected, and empowered to grow. We foster an environment that encourages innovation, collaboration, and diverse perspectives because we know that great ideas come from great teams. Our commitment to ongoing career development</span> <span> </span> <span> and growing</span> <span> </span> <span> an inclusive</span> <span> </span> <span> culture</span> <span> </span> <span> ensures you have the</span> <span> </span> <span> support</span> <span> </span> <span> to thrive. </span> <span> </span> <span> Whether</span> <span> </span> <span> through mentorship, training, or leadership opportunities, we invest in your success so you can make a lasting impact. We believe diverse teams, working together are key to driving growth and delivering business </span> <span> results. </span> </span> </p> <p> <span> <span> We</span> <span> </span> <span> recognize</span> <span> </span> <span> the</span> <span> </span> <span> importance</span> <span> </span> <span> of</span> <span> </span> <span> employee</span> <span> </span> <span> wellbeing. </span> <span> </span> <span> We</span> <span> </span> <span> prioritize</span> <span> </span> <span> providing</span> <span> </span> <span> competitive</span> <span> </span> <span> benefits</span> <span> </span> <span> plans, a variety of medical insurance plans, Employee Assistance Program, employee resource groups, recognition, and much more. Our culture offers flexible time off plans, including paid parental leave (maternal and paternal), vacation and holiday leave. </span> </span> </p> </div>

Disclaimer: This job posting has been aggregated from external source. Role details, content, and availability are subject to change. Applicants are advised to confirm the latest information directly on the company website before applying.",False,2373670,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Mumbai,https://www.naukri.com/emerson-jobs-careers-7118,"{'Url': 'https://www.ambitionbox.com/reviews/emerson-electric-co-dot-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 500, 'AggregateRating': '4.0', 'Title': 'Emerson Electric Co. Reviews by Employees'}",,,,,,,[]
Business Analyst Traineeship,https://img.naukimg.com/logo_images/groups/v1/10937870.gif,https://img.naukimg.com/logo_images/groups/v1/10937870.gif,300126501865,internship,INR,Starts in 1-3 months,green,Gigafactor Solutions,False,124460772,https://www.naukri.com/job-listings-business-analyst-traineeship-gigafactor-solutions-bengaluru-0-to-4-years-300126501865,"Business Analyst Traineeship       <div> <div>We are seeking a motivated and detail-oriented Fresher Business Analyst to join our dynamic team. As a Business Analyst, you will play a crucial role in analyzing business needs, identifying opportunities for improvement, and assisting in the development of innovative solutions to enhance our operations. This is an excellent opportunity for recent graduates looking to kickstart their careers in business analysis.</div> <div>This is a Remote Position.</div> Key Responsibilities: <ul> <li> <strong>Requirements Gathering:</strong> Collaborate with stakeholders to understand and document business requirements.</li> <li> <strong>Data Analysis:</strong> Analyze data sets to identify trends, patterns, and insights that support decision-making.</li> <li> <strong>Documentation:</strong> Create clear and concise documentation, including business requirements documents, process flows, and user stories.</li> <li> <strong>Stakeholder Communication:</strong> Communicate findings and recommendations to stakeholders at all levels, both verbally and in writing.</li> <li> <strong>Support Testing:</strong> Assist in the testing of new solutions to ensure they meet business requirements and quality standards.</li> <li> <strong>Process Improvement:</strong> Identify areas for process improvement and provide recommendations to enhance efficiency.</li> <li> <strong>Project Support:</strong> Work alongside project teams to support project planning and execution.</li> </ul> Qualifications: <ul> <li>Bachelor s degree in Business Administration, Information Technology, or a related field.</li> <li>Strong analytical skills with a keen attention to detail.</li> <li>Excellent communication and interpersonal skills.</li> <li>Basic understanding of business processes and data analysis tools (e.g., Excel, SQL) is a plus.</li> <li>Ability to work collaboratively in a team environment.</li> <li>Eagerness to learn and adapt to new challenges.</li> </ul> What We Offer: <ul> <li>A supportive work environment with opportunities for professional growth.</li> <li>Comprehensive training and mentorship from experienced professionals.</li> <li>Exposure to real-world business challenges and projects.</li> <li>Competitive salary and benefits package.</li> </ul> </div>  <div></div>",False,10937870,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Bengaluru,https://www.naukri.com/sparkmetrics-solutions-jobs-careers-124460772,,,,,,,,"['sql', 'excel', 'data analysis']"
BSW Intern,https://img.naukimg.com/logo_images/groups/v1/4147046.gif,https://img.naukimg.com/logo_images/groups/v1/4147046.gif,61125502207,internship,INR,Starts in 1-3 months,green,Arissa India,False,4985718,https://www.naukri.com/job-listings-bsw-intern-arissa-india-bengaluru-0-to-2-years-061125502207,Willingness to commit to the assignment and ensure completion on time<br><br> Ability and willingness to travel to other locations to gather information<br><br>Willingness to work closely with the communities and a passion for social business and transforming the lives of those most in need<br><br>Skills . Good communication skills to communicate with officials,False,4147046,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Bengaluru,https://www.naukri.com/arissa-india-jobs-careers-4985718,"{'Url': 'https://www.ambitionbox.com/reviews/arissa-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 9, 'AggregateRating': '3.9', 'Title': 'Arissa India Reviews by Employees'}",,,,,,,[]
