customer_id,signup_date,last_purchase_date,total_orders,total_revenue,avg_order_value,customer_segment,churned,days_since_last_purchase,acquisition_channel
CUST-001,2023-01-15,2023-11-20,12,1450.50,120.87,Premium,0,15,Organic Search
CUST-002,2023-02-10,2023-03-05,2,85.00,42.50,Basic,1,275,Paid Social
CUST-003,2023-01-22,2023-12-01,24,3200.75,133.36,Premium,0,4,Direct
CUST-004,2023-03-05,2023-08-15,5,410.20,82.04,Standard,1,112,Referral
CUST-005,2023-04-12,2023-11-28,8,950.00,118.75,Standard,0,7,Organic Search
CUST-006,2023-01-05,2023-02-20,3,150.00,50.00,Basic,1,288,Paid Search
CUST-007,2023-05-20,2023-12-05,15,1800.25,120.01,Premium,0,0,Direct
CUST-008,2023-06-11,2023-09-10,4,220.50,55.12,Basic,1,86,Paid Social
CUST-009,2023-02-28,2023-11-15,10,1100.00,110.00,Standard,0,20,Referral
CUST-010,2023-07-01,2023-11-30,6,650.00,108.33,Standard,0,5,Organic Search
